,Power
899,1267
900,1751
901,2042
902,1601
903,602
904,587
905,527
906,630
907,698
908,617
909,649
910,615
911,636
912,803
913,789
914,815
915,767
916,707
917,635
918,946
919,730
920,480
921,702
922,2020
923,1592
924,576
925,734
926,463
927,461
928,374
929,415
930,610
931,805
932,562
933,611
934,948
935,699
936,611
937,599
938,717
939,480
940,593
941,585
942,818
943,872
944,403
945,1315
946,1546
947,1623
948,1587
949,2061
950,1263
951,1433
952,631
953,898
954,733
955,774
956,564
957,1099
958,576
959,794
960,1473
961,1029
962,1217
963,1151
964,1250
965,1300
966,1253
967,1072
968,1131
969,954
970,1106
971,1035
972,1232
973,913
974,1347
975,1626
976,1082
977,1128
978,1254
979,1228
980,972
981,1156
982,1097
983,1060
984,953
985,1039
986,944
987,1149
988,949
989,832
990,1011
991,814
992,1033
993,993
994,1021
995,886
996,997
997,2107
998,1386
999,1185
1000,1136
1001,879
1002,1027
1003,881
1004,1091
1005,997
1006,1179
1007,1061
1008,936
1009,943
1010,1137
1011,1018
1012,1109
1013,1060
1014,1242
1015,1106
1016,1108
1017,1033
1018,658
1019,1612
1020,1716
1021,462
1022,653
1023,1181
1024,1067
1025,1001
1026,988
1027,937
1028,1128
1029,968
1030,1008
1031,932
1032,589
1033,528
1034,796
1035,700
1036,489
1037,1063
1038,871
1039,905
1040,554
1041,686
1042,378
1043,681
1044,412
1045,545
1046,316
1047,644
1048,422
1049,524
1050,687
1051,573
1052,902
1053,763
1054,487
1055,612
1056,747
1057,706
1058,608
1059,551
1060,588
1061,632
1062,688
1063,522
1064,435
1065,1617
1066,530
1067,823
1068,817
1069,496
1070,521
1071,748
1072,700
1073,482
1074,851
1075,893
1076,871
1077,1027
1078,566
1079,847
1080,558
1081,909
1082,626
1083,647
1084,738
1085,1005
1086,685
1087,551
1088,555
1089,783
1090,611
1091,2865
1092,2278
1093,2258
1094,1852
1095,783
1096,463
1097,647
1098,979
1099,573
1100,884
1101,825
1102,902
1103,855
1104,740
1105,615
1106,834
1107,829
1108,711
1109,615
1110,586
1111,464
1112,582
1113,507
1114,676
1115,831
1116,1091
1117,676
1118,786
1119,1786
1120,1187
1121,790
1122,579
1123,745
1124,496
1125,603
1126,577
1127,607
1128,604
1129,517
1130,1055
1131,591
1132,674
1133,807
1134,607
1135,553
1136,835
1137,503
1138,599
1139,1159
1140,446
1141,761
1142,1228
1143,902
1144,532
1145,505
1146,446
1147,462
1148,533
1149,484
1150,737
1151,628
1152,864
1153,800
1154,1593
1155,726
1156,617
1157,695
1158,796
1159,763
1160,623
1161,1529
1162,665
1163,617
1164,886
1165,946
1166,619
1167,587
1168,518
1169,609
1170,628
1171,493
1172,552
1173,733
1174,738
1175,620
1176,969
1177,651
1178,580
1179,551
1180,723
1181,682
1182,492
1183,661
1184,480
1185,1370
1186,1372
1187,597
1188,625
1189,529
1190,524
1191,936
1192,415
1193,606
1194,559
1195,994
1196,580
1197,712
1198,715
1199,992
1200,732
1201,731
1202,631
1203,795
1204,694
1205,695
1206,609
1207,380
1208,501
1209,474
1210,514
1211,1339
1212,581
1213,565
1214,562
1215,616
1216,488
1217,391
1218,600
1219,557
1220,730
1221,794
1222,891
1223,630
1224,562
1225,494
1226,631
1227,883
1228,659
1229,715
1230,565
1231,583
1232,574
1233,1348
1234,481
1235,406
1236,416
1237,658
1238,740
1239,594
1240,678
1241,840
1242,634
1243,588
1244,569
1245,1084
1246,562
1247,487
1248,582
1249,576
1250,678
1251,499
1252,472
1253,819
1254,579
1255,584
1256,370
1257,1236
1258,654
1259,763
1260,791
1261,787
1262,533
1263,610
1264,470
1265,618
1266,669
1267,901
1268,777
1269,1003
1270,577
1271,802
1272,726
1273,732
1274,638
1275,481
1276,725
1277,506
1278,878
1279,504
1280,567
1281,590
1282,2956
1283,2121
1284,2371
1285,1633
1286,962
1287,582
1288,638
1289,821
1290,666
1291,686
1292,523
1293,687
1294,829
1295,694
1296,696
1297,923
1298,820
1299,993
1300,915
1301,1051
1302,1063
1303,867
1304,693
1305,1261
1306,1339
1307,3401
1308,2112
1309,1111
1310,2698
1311,931
1312,846
1313,507
1314,1110
1315,721
1316,624
1317,681
1318,1025
1319,696
1320,680
1321,676
1322,682
1323,915
1324,2018
1325,910
1326,1206
1327,1483
1328,467
1329,831
1330,1788
1331,1990
1332,1365
1333,1673
1334,1568
1335,1391
1336,821
1337,732
1338,682
1339,522
1340,668
1341,543
1342,862
1343,784
1344,792
1345,733
1346,706
1347,684
1348,784
1349,722
1350,962
1351,662
1352,513
1353,525
1354,3249
1355,1862
1356,1289
1357,1386
1358,1961
1359,2182
1360,541
1361,594
1362,748
1363,689
1364,657
1365,754
1366,727
1367,818
1368,755
1369,620
1370,800
1371,801
1372,710
1373,886
1374,752
1375,527
1376,647
1377,1086
1378,644
1379,894
1380,633
1381,755
1382,775
1383,1993
1384,541
1385,510
1386,793
1387,829
1388,949
1389,659
1390,748
1391,1032
1392,580
1393,580
1394,1045
1395,872
1396,873
1397,745
1398,853
1399,635
1400,493
1401,1287
1402,1028
1403,1993
1404,844
1405,1318
1406,1630
1407,627
1408,699
1409,521
1410,770
1411,762
1412,662
1413,1037
1414,1144
1415,814
1416,1078
1417,924
1418,938
1419,908
1420,1068
1421,810
1422,879
1423,692
1424,834
1425,1136
1426,808
1427,5245
1428,5252
1429,1207
1430,948
1431,1804
1432,1391
1433,821
1434,945
1435,1358
1436,790
1437,695
1438,773
1439,944
1440,773
1441,629
1442,897
1443,941
1444,871
1445,791
1446,827
1447,748
1448,586
1449,1972
1450,1586
1451,2322
1452,1550
1453,1360
1454,1277
1455,1137
1456,861
1457,1947
1458,628
1459,902
1460,711
1461,747
1462,975
1463,881
1464,902
1465,772
1466,1020
1467,946
1468,913
1469,852
1470,902
1471,767
1472,786
1473,1626
1474,1167
1475,1232
1476,1040
1477,998
1478,956
1479,1495
1480,1077
1481,817
1482,869
1483,1029
1484,889
1485,903
1486,792
1487,757
1488,1585
1489,918
1490,712
1491,992
1492,807
1493,838
1494,868
1495,912
1496,542
1497,655
1498,1692
1499,942
1500,863
1501,837
1502,905
1503,1496
1504,4337
1505,788
1506,722
1507,731
1508,940
1509,797
1510,935
1511,687
1512,548
1513,706
1514,668
1515,987
1516,814
1517,655
1518,593
1519,453
1520,445
1521,723
1522,981
1523,681
1524,666
1525,616
1526,458
1527,1901
1528,738
1529,785
1530,774
1531,554
1532,639
1533,658
1534,687
1535,550
1536,699
1537,673
1538,637
1539,554
1540,549
1541,664
1542,654
1543,898
1544,674
1545,640
1546,448
1547,454
1548,603
1549,601
1550,758
1551,459
1552,494
1553,688
1554,680
1555,701
1556,647
1557,692
1558,660
1559,715
1560,668
1561,709
1562,774
1563,548
1564,583
1565,754
1566,814
1567,629
1568,545
1569,1302
1570,1187
1571,952
1572,697
1573,772
1574,981
1575,693
1576,554
1577,665
1578,494
1579,638
1580,568
1581,643
1582,685
1583,673
1584,918
1585,706
1586,797
1587,775
1588,1205
1589,831
1590,751
1591,678
1592,760
1593,766
1594,653
1595,755
1596,716
1597,608
1598,568
1599,1065
1600,782
1601,850
1602,838
1603,735
1604,788
1605,899
1606,655
1607,784
1608,698
1609,896
1610,772
1611,1008
1612,948
1613,755
1614,775
1615,657
1616,692
1617,1611
1618,1202
1619,1222
1620,671
1621,1386
1622,1226
1623,608
1624,687
1625,831
1626,1048
1627,808
1628,844
1629,728
1630,762
1631,944
1632,754
1633,938
1634,944
1635,701
1636,588
1637,736
1638,574
1639,818
1640,634
1641,1662
1642,1185
1643,868
1644,1875
1645,1421
1646,2640
1647,1203
1648,819
1649,836
1650,559
1651,921
1652,626
1653,672
1654,677
1655,769
1656,873
1657,857
1658,1131
1659,760
1660,798
1661,685
1662,1108
1663,713
1664,586
1665,669
1666,1001
1667,757
1668,1090
1669,1119
1670,1039
1671,1202
1672,941
1673,618
1674,746
1675,1081
1676,810
1677,623
1678,647
1679,1090
1680,969
1681,776
1682,942
1683,785
1684,698
1685,836
1686,564
1687,585
1688,506
1689,469
1690,1072
1691,584
1692,684
1693,607
1694,889
1695,629
1696,761
1697,752
1698,743
1699,1084
1700,685
1701,940
1702,834
1703,822
1704,886
1705,583
1706,589
1707,805
1708,922
1709,1185
1710,923
1711,914
1712,819
1713,650
1714,517
1715,1219
1716,729
1717,636
1718,637
1719,586
1720,607
1721,681
1722,734
1723,999
1724,765
1725,666
1726,773
1727,575
1728,594
1729,595
1730,858
1731,852
1732,697
1733,811
1734,720
1735,1016
1736,777
1737,1500
1738,720
1739,920
1740,661
1741,4914
1742,1692
1743,1083
1744,831
1745,607
1746,663
1747,764
1748,824
1749,891
1750,1119
1751,828
1752,1060
1753,767
1754,608
1755,791
1756,579
1757,711
1758,596
1759,1039
1760,783
1761,1557
1762,2188
1763,2075
1764,1663
1765,1430
1766,1125
1767,1749
1768,725
1769,1397
1770,837
1771,916
1772,678
1773,714
1774,780
1775,936
1776,1034
1777,849
1778,1057
1779,924
1780,708
1781,713
1782,653
1783,476
1784,788
1785,1506
1786,2555
1787,1140
1788,924
1789,1000
1790,1094
1791,1162
1792,937
1793,760
1794,637
1795,743
1796,560
1797,833
1798,785
1799,794
1800,901
1801,710
1802,992
1803,786
1804,745
1805,736
1806,761
1807,557
1808,705
1809,1639
1810,1425
1811,1371
1812,1241
1813,2714
1814,2435
1815,1322
1816,774
1817,686
1818,769
1819,867
1820,628
1821,677
1822,645
1823,843
1824,913
1825,977
1826,804
1827,799
1828,1075
1829,797
1830,885
1831,950
1832,636
1833,682
1834,1994
1835,966
1836,1024
1837,1990
1838,1152
1839,1484
1840,816
1841,838
1842,729
1843,805
1844,734
1845,769
1846,819
1847,879
1848,796
1849,1176
1850,894
1851,913
1852,700
1853,813
1854,903
1855,718
1856,722
1857,558
1858,2804
1859,1528
1860,3879
1861,1487
1862,1935
1863,1784
1864,986
1865,923
1866,1120
1867,1167
1868,796
1869,842
1870,877
1871,649
1872,939
1873,572
1874,622
1875,896
1876,836
1877,762
1878,624
1879,855
1880,448
1881,435
1882,686
1883,928
1884,902
1885,804
1886,802
1887,2124
1888,582
1889,741
1890,863
1891,897
1892,763
1893,642
1894,748
1895,581
1896,912
1897,1041
1898,825
1899,768
1900,510
1901,930
1902,684
1903,919
1904,711
1905,653
1906,561
1907,825
1908,864
1909,645
1910,920
1911,894
1912,895
1913,921
1914,836
1915,747
1916,625
1917,690
1918,652
1919,861
1920,642
1921,548
1922,784
1923,513
1924,797
1925,629
1926,730
1927,624
1928,504
1929,1321
1930,4138
1931,4208
1932,1555
1933,715
1934,636
1935,446
1936,728
1937,525
1938,498
1939,723
1940,723
1941,844
1942,696
1943,930
1944,681
1945,678
1946,921
1947,1008
1948,989
1949,692
1950,534
1951,587
1952,435
1953,655
1954,1244
1955,2099
1956,1598
1957,1685
1958,1546
1959,682
1960,716
1961,630
1962,696
1963,854
1964,710
1965,649
1966,663
1967,930
1968,1042
1969,979
1970,1095
1971,1092
1972,978
1973,958
1974,950
1975,854
1976,882
1977,1410
1978,1816
1979,2188
1980,2365
1981,2045
1982,2114
1983,1728
1984,1111
1985,930
1986,950
1987,1008
1988,971
1989,908
1990,992
1991,1000
1992,1056
1993,940
1994,931
1995,908
1996,1069
1997,944
1998,884
1999,856
2000,841
2001,1390
2002,1994
2003,2213
2004,2039
2005,1914
2006,1960
2007,1599
2008,1094
2009,963
2010,939
2011,918
2012,911
2013,839
2014,862
2015,994
2016,1010
2017,976
2018,880
2019,970
2020,1110
2021,1022
2022,910
2023,913
2024,859
2025,1189
2026,2006
2027,2173
2028,1269
2029,2635
2030,1883
2031,1635
2032,1036
2033,945
2034,997
2035,1004
2036,960
2037,974
2038,867
2039,1040
2040,846
2041,883
2042,1035
2043,960
2044,1040
2045,829
2046,899
2047,742
2048,1585
2049,989
2050,745
2051,837
2052,595
2053,815
2054,528
2055,2336
2056,961
2057,1011
2058,693
2059,624
2060,673
2061,995
2062,1096
2063,947
2064,892
2065,1185
2066,723
2067,865
2068,640
2069,1209
2070,636
2071,916
2072,706
2073,908
2074,1733
2075,938
2076,1306
2077,2956
2078,1276
2079,790
2080,734
2081,683
2082,898
2083,864
2084,1627
2085,1196
2086,1041
2087,675
2088,897
2089,903
2090,1116
2091,1050
2092,957
2093,985
2094,1018
2095,709
2096,687
2097,1863
2098,4613
2099,4477
2100,4158
2101,1742
2102,2518
2103,1665
2104,1310
2105,860
2106,681
2107,1196
2108,690
2109,1253
2110,1050
2111,826
2112,1161
2113,793
2114,797
2115,665
2116,839
2117,615
2118,849
2119,1156
2120,1512
2121,2012
2122,3079
2123,1518
2124,1087
2125,1315
2126,1788
2127,1275
2128,937
2129,953
2130,976
2131,941
2132,2876
2133,1150
2134,808
2135,1360
2136,1033
2137,781
2138,658
2139,709
2140,770
2141,701
2142,774
2143,538
2144,703
2145,1546
2146,1287
2147,763
2148,2027
2149,2948
2150,2797
2151,1309
2152,889
2153,818
2154,692
2155,1372
2156,1260
2157,548
2158,862
2159,1710
2160,760
2161,662
2162,814
2163,864
2164,1499
2165,1007
2166,713
2167,773
2168,800
2169,1380
2170,2217
2171,1999
2172,1277
2173,1947
2174,874
2175,890
2176,843
2177,706
2178,709
2179,903
2180,577
2181,685
2182,617
2183,692
2184,990
2185,1251
2186,807
2187,1900
2188,1152
2189,985
2190,973
2191,1020
2192,1726
2193,673
2194,1575
2195,1757
2196,1258
2197,1377
2198,1948
2199,991
2200,749
2201,1243
2202,1094
2203,725
2204,1009
2205,808
2206,924
2207,947
2208,886
2209,940
2210,909
2211,742
2212,985
2213,1411
2214,874
2215,738
2216,729
2217,816
2218,868
2219,968
2220,775
2221,790
2222,919
2223,1090
2224,1013
2225,825
2226,536
2227,769
2228,1053
2229,807
2230,779
2231,656
2232,1262
2233,874
2234,848
2235,943
2236,970
2237,1098
2238,1127
2239,1165
2240,947
2241,1334
2242,1307
2243,4006
2244,2038
2245,2066
2246,1121
2247,613
2248,770
2249,673
2250,789
2251,1311
2252,811
2253,915
2254,803
2255,861
2256,828
2257,841
2258,894
2259,1059
2260,885
2261,1281
2262,1048
2263,1003
2264,854
2265,743
2266,2104
2267,2865
2268,2278
2269,2258
2270,1852
2271,1969
2272,1079
2273,891
2274,989
2275,890
2276,910
2277,955
2278,942
2279,980
2280,780
2281,1414
2282,1428
2283,2365
2284,1005
2285,1887
2286,1848
2287,895
2288,2179
2289,2113
2290,1851
2291,2135
2292,2262
2293,1861
2294,2165
2295,1786
2296,965
2297,1029
2298,912
2299,931
2300,944
2301,939
2302,906
2303,984
2304,1497
2305,1408
2306,1011
2307,983
2308,1088
2309,1441
2310,1235
2311,998
2312,662
2313,1312
2314,1342
2315,3259
2316,3309
2317,1776
2318,2489
2319,3118
2320,1346
2321,859
2322,920
2323,1106
2324,1414
2325,940
2326,754
2327,867
2328,1577
2329,822
2330,1014
2331,811
2332,1684
2333,1204
2334,663
2335,638
2336,594
2337,865
2338,1027
2339,1132
2340,700
2341,634
2342,1123
2343,2336
2344,1502
2345,1147
2346,1050
2347,765
2348,852
2349,943
2350,1214
2351,1203
2352,1428
2353,973
2354,916
2355,810
2356,1538
2357,1690
2358,908
2359,716
2360,914
2361,1284
2362,1899
2363,1339
2364,1596
2365,4979
2366,2572
2367,1303
2368,1654
2369,1159
2370,1605
2371,1253
2372,807
2373,1003
2374,1205
2375,1408
2376,736
2377,1636
2378,1367
2379,859
2380,749
2381,993
2382,1340
2383,1416
2384,624
2385,915
2386,765
2387,1400
2388,1408
2389,761
2390,784
2391,1894
2392,669
2393,842
2394,761
2395,1402
2396,1295
2397,1180
2398,967
2399,775
2400,1010
2401,866
2402,941
2403,1401
2404,1279
2405,904
2406,820
2407,759
2408,1122
2409,1822
2410,1372
2411,1471
2412,1298
2413,1785
2414,1244
2415,676
2416,1262
2417,1124
2418,775
2419,920
2420,710
2421,1382
2422,1245
2423,1563
2424,1500
2425,1416
2426,873
2427,936
2428,615
2429,1261
2430,1220
2431,608
2432,553
2433,1561
2434,6156
2435,6232
2436,6818
2437,6772
2438,4674
2439,1805
2440,1111
2441,604
2442,1101
2443,1421
2444,730
2445,587
2446,933
2447,1239
2448,971
2449,1491
2450,1456
2451,1446
2452,1135
2453,878
2454,737
2455,1276
2456,1320
2457,759
2458,1231
2459,1144
2460,1480
2461,1598
2462,3551
2463,4975
2464,1544
2465,1705
2466,647
2467,1011
2468,1460
2469,1474
2470,739
2471,1056
2472,955
2473,1091
2474,975
2475,1130
2476,1342
2477,1740
2478,814
2479,814
2480,783
2481,1160
2482,1193
2483,989
2484,1098
2485,880
2486,1489
2487,2021
2488,908
2489,1274
2490,1192
2491,1144
2492,933
2493,1014
2494,1646
2495,1594
2496,1482
2497,1414
2498,984
2499,1012
2500,959
2501,1433
2502,1436
2503,961
2504,752
2505,1281
2506,1493
2507,2697
2508,3831
2509,958
2510,3862
2511,1396
2512,719
2513,969
2514,979
2515,1373
2516,1558
2517,822
2518,756
2519,1319
2520,989
2521,1145
2522,1336
2523,1253
2524,615
2525,1112
2526,1165
2527,1518
2528,1488
2529,833
2530,1401
2531,2778
2532,2280
2533,1747
2534,789
2535,1582
2536,1597
2537,941
2538,1036
2539,1042
2540,1666
2541,1259
2542,767
2543,1126
2544,1094
2545,1035
2546,702
2547,1448
2548,1374
2549,796
2550,915
2551,797
2552,1400
2553,1259
2554,827
2555,829
2556,676
2557,1387
2558,1384
2559,1769
2560,1126
2561,1216
2562,1432
2563,810
2564,762
2565,1277
2566,1382
2567,1749
2568,1504
2569,986
2570,749
2571,824
2572,1503
2573,1441
2574,1178
2575,702
2576,970
2577,1919
2578,1715
2579,2714
2580,2427
2581,2876
2582,2296
2583,908
2584,924
2585,937
2586,1352
2587,1403
2588,811
2589,814
2590,666
2591,1287
2592,957
2593,1115
2594,1240
2595,1388
2596,1531
2597,947
2598,776
2599,702
2600,1066
2601,1887
2602,1144
2603,4099
2604,1650
2605,3315
2606,2471
2607,1894
2608,3363
2609,1487
2610,1253
2611,750
2612,1023
2613,1267
2614,1189
2615,1463
2616,1370
2617,1320
2618,931
2619,937
2620,1241
2621,1653
2622,1462
2623,864
2624,1142
2625,868
2626,1128
2627,1336
2628,745
2629,793
2630,926
2631,2992
2632,879
2633,866
2634,1401
2635,1354
2636,1030
2637,898
2638,760
2639,1266
2640,1067
2641,1135
2642,1369
2643,1354
2644,2195
2645,726
2646,1247
2647,1298
2648,1397
2649,798
2650,949
2651,2995
2652,2103
2653,2134
2654,1557
2655,1331
2656,1298
2657,835
2658,748
2659,871
2660,1290
2661,1482
2662,1077
2663,987
2664,738
2665,616
2666,1446
2667,1392
2668,699
2669,950
2670,814
2671,1587
2672,1218
2673,1412
2674,1560
2675,1360
2676,1292
2677,1449
2678,818
2679,1524
2680,1127
2681,1241
2682,811
2683,632
2684,983
2685,1279
2686,1083
2687,769
2688,978
2689,847
2690,1288
2691,1387
2692,676
2693,668
2694,876
2695,1062
2696,1194
2697,1284
2698,1174
2699,2214
2700,1942
2701,875
2702,978
2703,869
2704,1163
2705,1073
2706,881
2707,506
2708,622
2709,1202
2710,1147
2711,888
2712,613
2713,1424
2714,1130
2715,773
2716,753
2717,842
2718,1191
2719,948
2720,591
2721,586
2722,663
2723,1026
2724,1211
2725,496
2726,534
2727,938
2728,1317
2729,1125
2730,604
2731,778
2732,869
2733,1202
2734,1063
2735,770
2736,683
2737,1382
2738,1294
2739,848
2740,894
2741,787
2742,1112
2743,1214
2744,487
2745,1230
2746,1175
2747,1916
2748,1228
2749,973
2750,944
2751,1159
2752,1044
2753,724
2754,404
2755,625
2756,1155
2757,1210
2758,623
2759,843
2760,734
2761,1129
2762,1228
2763,577
2764,668
2765,686
2766,913
2767,1177
2768,371
2769,1556
2770,5224
2771,6661
2772,5881
2773,6367
2774,4371
2775,1894
2776,942
2777,1191
2778,712
2779,587
2780,1251
2781,1045
2782,742
2783,747
2784,935
2785,801
2786,1143
2787,1358
2788,659
2789,778
2790,1056
2791,1203
2792,1236
2793,1380
2794,950
2795,1774
2796,1435
2797,2108
2798,1388
2799,4664
2800,1167
2801,599
2802,791
2803,650
2804,979
